問題発見日,記入者,ユニットコード,図品番,不具合内容,対策内容,発生タイミング,項目,設計回答日,設計回答者,完了予定日,図面修正完了日,対策品集合日,対策完了日,blank,SEで見切るべき,SEで見れない,設計未対応,発生タイミング,項目,サイレン,組付課名,管理番号,製作番号,基盤,設備名,日付差,対策完了日,担当組付課,機種コード,担当設計室
2000/4/1,田中,10_巻出,VGK324,緊急脱出用取っ手無し,"取っ手追加
設変番号：B7-3",総組付,設計不良,2000/4/1,佐藤,2000/4/3,2000/4/4,2000/4/7,2000/4/8,,,,,総組付,設計不良,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),1,2000/4/3,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,ASSY納入の場合：吊れるように別個納入の場合：個別で組立できる構成でお願いします。,バラの予定,ＳＥ,要望,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,要望,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,補機,,ラックをホイスト無しで設営できるかどうか要検討（よっぽど手持ちでステップ作業か）,手待ち,ＳＥ,作業性,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,HWD178,,"搬出時に載せられるトラックはあるのか確認必須
カバーつけたままでいけるのか","カバー着いたままで搬送可能なことは、岩瀬さん
経由で確認済幅2900　高さ3800以内なら可",ＳＥ,懸念事項,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,"IAIの電動シャッター、作業者が手で開閉する際に
上部と距離があるので傾いてスムーズに動かない懸念あり","シャッターを手で開閉させる作業はイレギュラーな
作業で低頻度のため現状とさせてください",ＳＥ,設備品質,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,その他,,矯正機単体で連続運転時にワークの出し入れが必要。やり方きめる必要あり,"ハンドリフターで設備投入できないでしょうか？？
→ワークの搬入はホイストを使用",ＳＥ,懸念事項,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,原点セット方法を教えてください。,"メカストッパ押付け（サーボ軸）
モータ側の内部メカストッパ押付け（IAI）　",ＳＥ,懸念事項,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,シャッター下部のカムフォロアの位置調整はサシ目ですか？,サシ目でお願いします（ボルトのバカ穴分）,ＳＥ,設備品質,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,ノックピンφ１３？Φ１６？物の確認（ガイドピン,確認（中村,ＳＥ,懸念事項,,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,ASH,,油圧回路図：ソレノイド２POS？,確認済み（２POS）,ＳＥ,懸念事項,2024/10/9,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,当てがねのM5ボルト減らせないか,購入品への直付けであり現状とさせてください。高荷重、偏荷重対し、M5ボルトを減らすのは困難と考えます。,ＳＥ,作業性,2024/10/9,ー,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,"シリンダ類はサブベースの上から入れれるようにしたい
U組しにくい、保全性も悪い",修正済み確認,ＳＥ,保全性,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,保全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,その他,,治具での評価結果から１０ｍｍ押込みで３．９㎜の矯正→割れも発生しているし５ｍｍ矯正できていない懸念,上郷実証でデータ取りながら確認していきます,ＳＥ,設備品質,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,"ワークの基準ピンは丸ダイヤでなくても大丈夫か
要求精度は？ノックピンないけど位置決めは？",テーパー部で中心をひろう思想です。（ストレート部はガタあり）,ＳＥ,設備品質,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,ACF180,,THKのサーボシリンダのツリー名称おかしくないか,修正済み確認,ＳＥ,ポカミス,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,ポカミス,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,各軸メカストッパは？,アクチュエータ内部のハードストッパを使用。　　⇒Rr機からはストッパを織り込むようにします,ＳＥ,,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,ASH,,減圧弁は各ワーククランプとナチュラルクランプに分けて配置してあれば十分ではないか（制御したい場所ごとにバルブを分けていて、バルブごとに配置するしかないから？）,確認します。,ＳＥ,コスト,,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,コスト,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,HWD178,,搬出先でのアンカーも手配かかっているか,加工図出図の際に一緒に手配します。,ＳＥ,懸念事項,2024/10/9,山口,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,補機,,MTC75-2のボルトナットはナットが上向きのほうがよくないか,ナット溶接になります,ＳＥ,設備品質,2024/10/9,三村,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,補機,,"配線ダクトの取付穴が合わなくならないような
工夫が入っているか",長さ指定で購入,ＳＥ,作業性,2024/10/9,三村,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,補機,,配管保護BKTの固定ボルト（皿ビス）の位置が合わない懸念大,形状変更済み,ＳＥ,作業性,2024/10/9,三村,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,クランプ端をみるセンサーが近接ですと、検出がかなりラフになる,"検出の仕方含めて検討中です（10/22記）
調整できるように長孔にしてます。
→実ワークもしくは、ロードセルかマスタワークを
　クランプ状態で調整する（12月24日）",ＳＥ,設備品質,2024/10/9,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,ベース下に隠れるシリンダの配線作業は可能か,抜き穴等追加し配線できるようにしました。,ＳＥ,作業性,2024/10/9,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ117,,ボールねじの高さは現合レスですか？,支持側で現合スペーサで調整します。,ＳＥ,懸念事項,2024/10/9,清水,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ117,,"組付け時のLM落下防止としてボルトを
立てておけるようにしたい",落下防止を設置します。,ＳＥ,作業性,2024/10/9,清水,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,シャッターの位置調整はどのように？下部クリアランス２ｍｍだと怪しい,クリアランス広げます(ノミナルで7㎜）,ＳＥ,作業性,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,IAIのシリンダ取付、TA-Aのボルトへのアクセスが厳しい,Rr機からアクセス性を改善します。,ＳＥ,作業性,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,"HPTWUL6の取付向きを補強の曲げが設備内側を
向くように取付したい",見直します,ＳＥ,安全性,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,安全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,原位置での合いマーク表示は不要ですか？,追加します,ＳＥ,懸念事項,2024/10/9,各ユニット担当,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,ASZ,,"銘板用でタップ穴など必要になる箇所があるならば
要確認",銘板取付BKT有無を確認し回答いたします,ＳＥ,懸念事項,2024/10/9,花城,2024/1/10,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),-186,2024/1/10,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,カバーパネル、一人で取外しできるサイズに分割してください,分割します,ＳＥ,作業性,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,開き扉の開き端・閉じ端ストッパを設けてください,設変で手配します,ＳＥ,設備品質,2024/10/9,花城,2024/1/10,2025/2/24,2025/3/3,2025/3/4,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),-186,2024/1/10,QEF11,AZ1021,0:00:00
2024/10/9,中村,HWD178,,据付基準の下げ振り垂らす場所を設けてください,ベース上面に設置します。,ＳＥ,設備品質,2024/10/9,山口,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,その他,,"矯正量は、変位計の数値に応じて変動するのか
またそれらの数値は操作盤上でいじれますか","矯正量は変位計の値に応じて変更します
操作盤上でいじれるかは、制御と確認します",ＳＥ,設備品質,2024/10/9,花城,,,,2024/2/4,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,CAV969,,マスターワークを機内にセットした際に基準ピンにガタがあると思うが位置再現性をもたす考えや決まりはありますか,"ガタは許容する予定です。ガタを考慮した
再現性を担保できればよいと考えています",ＳＥ,設備品質,2024/10/9,花城,,,,2024/2/4,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,リンククランプのナットはゆるみ止めナットにしたほうが良いか,"構造は見直しました。クランプ荷重に対してボルトの
締結力が大きくゆるむような場所じゃないので
ゆるみ止めナットまでは使わずに行きます。",ＳＥ,設備品質,2024/10/9,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,"当てがねに回り止めでピンを使うのをやめたい
（保全性悪い、落下の恐れもあり）",回り止め用ピン廃止しました。,ＳＥ,設備品質,2024/10/9,各担当,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,全体,,当てがねの回り止めをするなら2面幅ではなく六角目打ちにできないか,回り止め用ピン廃止しました。,ＳＥ,設備品質,2024/10/9,各担当,,2024/10/9,,2024/10/9,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,ASZ,,制御区分ごとの色帯シールを図面折込お願いします。,図面に織込みます（青のテープになります）,ＳＥ,懸念事項,2024/10/9,阿部（花城）,2024/1/10,,,2025/2/24,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),-186,2024/1/10,QEF11,AZ1021,0:00:00
2024/10/9,中村,,,制御盤の固定はどのようにされますか,BKT追加,ＳＥ,安全性,,阿部,,2024/10/9,,2024/10/9,,,,,ＳＥ,安全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,GXZ116,,"下側のナチュラルクランプは他のナチュラルクランプと違い、
ワークに当たったところでとまらず、設定圧力で押し続けると
思いますがそういった設計思想ですか？","一定圧（ばね力）以上たったところで
保持と確認済み",ＳＥ,懸念事項,2024/10/9,中村,,2024/10/9,,2024/10/9,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/9,中村,VGU104,,"アルミフレームに取付する部品において1部品で3個以上の
取付穴がある場合は長ナットを採用して頂きたい
（シャッターのところなど",すいません。Rr機から対応させてください。,ＳＥ,作業性,2024/10/9,花城,,2024/10/9,,2024/10/9,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),244,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/10,中村,,,油抜き箇所決めて継手をつける,各シリンダ直後へ設けます,ＳＥ,作業性,2024/10/10,三村,,2024/10/10,,2024/10/10,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),243,2025/9/24,QEF11,AZ1021,0:00:00
